# panacus histgrowth ecoli2146.pan.explode.0.og.crush.gfa -c bp -q 0,1,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	1	0.5	0.1
246	29024089	2	NaN	NaN
247	29075944	1	NaN	NaN
248	29127701	1	NaN	NaN
249	29179360	1	NaN	NaN
250	29230922	1	NaN	NaN
251	29282387	1	NaN	NaN
252	29333755	1	NaN	NaN
253	29385029	1	NaN	NaN
254	29436207	1	NaN	NaN
255	29487290	1	NaN	NaN
256	29538279	1	NaN	NaN
257	29589175	1	NaN	NaN
258	29639978	1	NaN	NaN
259	29690689	1	NaN	NaN
260	29741308	1	NaN	NaN
261	29791835	1	NaN	NaN
262	29842271	1	NaN	NaN
263	29892617	1	NaN	NaN
264	29942873	1	NaN	NaN
265	29993040	1	NaN	NaN
266	30043118	1	NaN	NaN
267	30093107	1	NaN	NaN
268	30143009	1	NaN	NaN
269	30192823	1	NaN	NaN
270	30242550	1	NaN	NaN
271	30292190	1	NaN	NaN
272	30341745	1	NaN	NaN
273	30391214	1	NaN	NaN
274	30440597	1	NaN	NaN
275	30489896	1	NaN	NaN
276	30539111	1	NaN	NaN
277	30588242	1	NaN	NaN
278	30637290	1	NaN	NaN
279	30686255	1	NaN	NaN
280	30735137	1	NaN	NaN
281	30783937	1	NaN	NaN
282	30832656	1	NaN	NaN
283	30881293	1	NaN	NaN
284	30929850	1	NaN	NaN
285	30978326	1	NaN	NaN
286	31026723	1	NaN	NaN
287	31075040	1	NaN	NaN
288	31123277	1	NaN	NaN
289	31171436	1	NaN	NaN
290	31219517	1	NaN	NaN
291	31267519	1	NaN	NaN
292	31315445	1	NaN	NaN
293	31363293	1	NaN	NaN
294	31411064	1	NaN	NaN
295	31458758	1	NaN	NaN
296	31506377	1	NaN	NaN
297	31553920	1	NaN	NaN
298	31601388	1	NaN	NaN
299	31648781	1	NaN	NaN
300	31696099	1	NaN	NaN
301	31743344	0	NaN	NaN
302	31790514	0	NaN	NaN
303	31837611	0	NaN	NaN
304	31884635	0	NaN	NaN
305	31931586	0	NaN	NaN
306	31978465	0	NaN	NaN
307	32025271	0	NaN	NaN
308	32072006	0	NaN	NaN
309	32118670	0	NaN	NaN
310	32165263	0	NaN	NaN
311	32211784	0	NaN	NaN
312	32258236	0	NaN	NaN
313	32304618	0	NaN	NaN
314	32350929	0	NaN	NaN
315	32397172	0	NaN	NaN
316	32443345	0	NaN	NaN
317	32489450	0	NaN	NaN
318	32535486	0	NaN	NaN
319	32581454	0	NaN	NaN
