# panacus histgrowth ecoli2146.pan.explode.0.og.crush.og.2013.gfa -c bp -q 0,1,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	1	0.5	0.1
222	27823244	1545528	4190156	6982426
223	27877441	1541949	4184270	6991534
224	27931525	1538382	4190101	7000585
225	27985496	1534827	4184279	7009579
226	28039355	1531284	4190047	7018516
227	28093103	1527753	4184288	7027398
228	28146740	1524233	4189995	7036224
229	28200268	1520726	4184297	7044996
230	28253687	1517230	4189943	7053713
231	28306997	1513746	4184306	6975360
232	28360199	1510274	4189894	6984128
233	28413295	1506813	4184315	6992842
234	28466284	1503364	4189845	7001503
235	28519167	1499925	4184324	7010111
236	28571946	1496499	4189798	7018667
237	28624619	1493083	4184333	7027172
238	28677190	1489679	4189752	7035625
239	28729657	1486286	4184342	7044028
240	28782021	1482904	4189706	7052381
241	28834284	1479533	4184351	6977304
242	28886446	1476173	4189663	6985707
243	28938507	1472823	4184360	6994060
244	28990467	1469485	4189620	7002363
245	29042329	1466157	4184369	7010618
246	29094092	1462840	4189578	7018825
247	29145756	1459534	4184379	7026984
248	29197323	1456238	4189537	7035096
249	29248792	1452953	4184388	7043161
250	29300166	1449678	4189497	7051179
251	29351443	1446414	4184397	6979108
252	29402625	1443160	4189458	6987175
253	29453712	1439917	4184406	6995196
254	29504705	1436683	4189420	7003172
255	29555604	1433460	4184415	7011103
256	29606410	1430247	4189383	7018988
257	29657123	1427044	4184424	7026830
258	29707744	1423851	4189346	7034627
259	29758273	1420668	4184433	7042381
260	29808712	1417495	4189311	7050092
261	29859060	1414332	4184443	6980786
262	29909318	1411179	4189276	6988545
263	29959486	1408035	4184452	6996260
264	30009565	1404901	4189242	7003933
265	30059556	1401777	4184461	7011565
266	30109458	1398663	4189208	7019154
267	30159273	1395558	4184470	7026702
268	30209001	1392462	4189176	7034210
269	30258642	1389376	4184479	7041676
270	30308197	1386300	4189144	7049103
271	30357667	1383233	4184487	6982352
272	30407051	1380175	4189113	6989825
273	30456351	1377126	4184496	6997258
274	30505566	1374087	4189082	7004651
275	30554697	1371057	4184505	7012006
276	30603745	1368036	4189053	7019321
277	30652710	1365024	4184514	7026598
278	30701593	1362021	4189023	7033837
279	30750393	1359027	4184523	7041038
280	30799112	1356043	4188995	7048201
281	30847749	1353067	4184531	6983816
282	30896306	1350100	4188967	6991024
283	30944783	1347142	4184540	6998195
284	30993179	1344192	4188939	7005329
285	31041496	1341252	4184548	7012427
286	31089734	1338320	4188912	7019488
287	31137893	1335396	4184557	7026514
288	31185974	1332482	4188886	7033503
289	31233977	1329576	4184565	7040457
290	31281902	1326678	4188860	7047375
291	31329750	1323789	4184573	6985188
292	31377522	1320909	4188834	6992150
293	31425217	1318036	4184582	6999078
294	31472836	1315173	4188810	7005971
295	31520380	1312317	4184590	7012830
296	31567849	1309470	4188785	7019655
297	31615242	1306631	4184598	7026446
298	31662562	1303801	4188761	7033203
299	31709807	1300978	4184606	7039927
300	31756978	1298164	4188738	7046618
301	31804076	1295358	4184614	6986477
302	31851102	1292560	4188715	6993210
303	31898054	1289770	4184622	6999911
304	31944934	1286988	4188692	7006579
305	31991743	1284214	4184630	7013215
306	32038479	1281447	4188670	7019820
307	32085145	1278689	4184638	7026392
308	32131740	1275939	4188648	7032933
309	32178264	1273196	4184646	7039442
310	32224718	1270461	4188627	7045920
311	32271102	1267734	4184653	6987689
312	32317416	1265015	4188606	6994209
313	32363661	1262303	4184661	7000698
314	32409838	1259599	4188585	7007156
315	32455946	1256903	4184669	7013584
316	32501985	1254214	4188565	7019982
317	32547957	1251532	4184676	7026351
318	32593861	1248859	4188545	7032689
319	32639698	1246192	4184683	7038998
320	32685468	1243533	4188525	7045277
321	32731171	1240882	4184691	6988833
322	32776808	1238238	4188506	6995152
323	32822378	1235601	4184698	7001443
324	32867883	1232972	4188487	7007705
325	32913323	1230349	4184705	7013938
326	32958697	1227734	4188468	7020143
327	33004007	1225127	4184712	7026319
328	33049252	1222526	4188450	7032468
329	33094433	1219933	4184719	7038588
330	33139550	1217347	4188432	7044681
331	33184603	1214767	4184726	6989914
332	33229592	1212195	4188415	6996045
333	33274519	1209630	4184733	7002149
334	33319383	1207072	4188397	7008227
335	33364184	1204521	4184740	7014277
336	33408923	1201977	4188380	7020300
337	33453600	1199440	4184747	7026297
338	33498215	1196910	4188363	7032268
339	33542769	1194386	4184754	7038211
340	33587261	1191869	4188347	7044129
341	33631693	1189360	4184760	6990936
342	33676064	1186856	4188330	6996891
343	33720375	1184360	4184767	7002820
344	33764625	1181871	4188314	7008724
345	33808816	1179388	4184774	7014602
346	33852947	1176911	4188299	7020455
347	33897018	1174442	4184780	7026283
348	33941031	1171979	4188283	7032085
349	33984984	1169522	4184787	7037863
350	34028879	1167072	4188268	7043615
351	34072716	1164629	4184793	6991905
352	34116495	1162192	4188253	6997694
353	34160216	1159761	4184799	7003458
354	34203879	1157337	4188238	7009199
355	34247484	1154920	4184805	7014915
356	34291033	1152509	4188223	7020607
357	34334525	1150104	4184812	7026275
358	34377960	1147705	4188209	7031919
359	34421339	1145313	4184818	7037540
360	34464661	1142927	4188195	7043137
361	34507928	1140548	4184824	6992825
362	34551139	1138174	4188181	6998457
363	34594294	1135807	4184830	7004066
364	34637394	1133446	4188167	7009652
365	34680439	1131091	4184836	7015215
366	34723429	1128743	4188153	7020756
