# panacus histgrowth ecoli2146.pan.explode.0.og.crush.og.2013.gfa -c bp -q 0,0.95,0.5,0.1 -t 28
panacus	growth	growth	growth	growth
count	bp	bp	bp	bp
coverage	1	1	1	1
quorum	0	0.95	0.5	0.1
522	40873649	3074131	4187491	7007014
523	40910095	3073749	4185175	7010955
524	40946510	3073367	4187486	7014884
525	40982893	3072986	4185178	7018802
526	41019244	3072605	4187481	7022708
527	41055563	3072224	4185182	7026603
528	41091851	3071843	4187475	7030486
529	41128108	3071463	4185185	7034357
530	41164333	3071084	4187470	7038217
531	41200527	3070704	4185188	7003511
532	41236689	3070325	4187465	7007392
533	41272821	3069947	4185191	7011262
534	41308921	3069568	4187460	7015121
535	41344991	3069190	4185194	7018969
536	41381029	3068812	4187456	7022805
537	41417037	3068434	4185198	7026631
538	41453014	3068056	4187451	7030445
539	41488961	3067679	4185201	7034248
540	41524877	3074845	4187446	7038040
541	41560763	3074479	4185204	7003944
542	41596618	3074112	4187441	7007757
543	41632443	3073747	4185207	7011559
544	41668238	3073381	4187437	7015350
545	41704003	3073016	4185210	7019130
546	41739738	3072651	4187432	7022900
547	41775443	3072287	4185213	7026658
548	41811118	3071923	4187427	7030406
549	41846764	3071559	4185216	7034143
550	41882379	3071195	4187423	7037870
551	41917966	3070832	4185219	7004363
552	41953522	3070469	4187418	7008109
553	41989050	3070106	4185222	7011845
554	42024547	3069744	4187414	7015571
555	42060016	3069381	4185225	7019286
556	42095456	3069019	4187410	7022991
557	42130866	3068657	4185229	7026686
558	42166247	3068296	4187405	7030370
559	42201600	3067934	4185232	7034043
560	42236923	3074801	4187401	7037707
561	42272218	3074450	4185235	7004767
562	42307484	3074099	4187397	7008450
563	42342722	3073748	4185238	7012123
564	42377930	3073398	4187393	7015785
565	42413111	3073048	4185241	7019438
566	42448263	3072699	4187388	7023080
567	42483387	3072349	4185244	7026713
568	42518482	3072000	4187384	7030335
569	42553549	3071651	4185247	7033947
570	42588588	3071303	4187380	7037550
571	42623600	3070955	4185249	7005158
572	42658583	3070607	4187376	7008779
573	42693538	3070259	4185252	7012391
574	42728466	3069911	4187372	7015992
575	42763365	3069563	4185255	7019584
576	42798237	3069216	4187368	7023167
577	42833082	3068869	4185258	7026739
578	42867899	3068522	4187364	7030302
579	42902689	3068175	4185261	7033855
580	42937451	3074764	4187361	7037398
581	42972186	3074427	4185264	7005536
582	43006894	3074090	4187357	7009098
583	43041574	3073754	4185267	7012650
584	43076228	3073418	4187353	7016193
585	43110854	3073082	4185270	7019726
586	43145454	3072746	4187349	7023250
587	43180026	3072411	4185273	7026765
588	43214572	3072076	4187346	7030270
589	43249091	3071741	4185276	7033766
590	43283584	3071407	4187342	7037253
591	43318050	3071072	4185279	7005902
592	43352489	3070738	4187338	7009406
593	43386902	3070404	4185281	7012901
594	43421289	3070070	4187335	7016387
595	43455649	3069737	4185284	7019864
596	43489983	3069403	4187331	7023332
597	43524291	3069070	4185287	7026790
598	43558572	3068736	4187328	7030240
599	43592828	3068403	4185290	7033681
600	43627057	3074732	4187324	7037112
601	43661261	3074408	4185293	7006256
602	43695439	3074085	4187321	7009704
603	43729591	3073762	4185296	7013144
604	43763717	3073439	4187317	7016575
605	43797818	3073116	4185298	7019997
606	43831893	3072794	4187314	7023410
607	43865942	3072472	4185301	7026815
608	43899966	3072150	4187311	7030211
609	43933965	3071828	4185304	7033598
610	43967938	3071507	4187307	7036976
611	44001886	3071185	4185307	7006598
612	44035809	3070864	4187304	7009993
613	44069707	3070543	4185309	7013379
614	44103579	3070222	4187301	7016757
615	44137427	3069901	4185312	7020126
616	44171249	3069581	4187298	7023487
617	44205047	3069260	4185315	7026839
618	44238820	3068940	4187294	7030183
619	44272568	3068619	4185318	7033518
620	44306291	3074705	4187291	7036844
621	44339990	3074394	4185320	7006930
622	44373664	3074083	4187288	7010272
623	44407313	3073772	4185323	7013607
624	44440938	3073462	4187285	7016933
625	44474539	3073152	4185326	7020251
626	44508115	3072842	4187282	7023561
627	44541667	3072532	4185329	7026862
628	44575194	3072222	4187279	7030155
629	44608698	3071912	4185331	7033440
630	44642177	3071603	4187276	7036717
631	44675633	3071294	4185334	7007251
632	44709064	3070985	4187273	7010543
633	44742471	3070676	4185337	7013827
634	44775855	3070367	4187270	7017103
635	44809214	3070058	4185340	7020372
636	44842550	3069750	4187267	7023632
637	44875862	3069441	4185342	7026884
638	44909150	3069133	4187265	7030128
639	44942415	3068824	4185345	7033365
640	44975657	3074683	4187262	7036593
641	45008874	3074383	4185348	7007562
642	45042069	3074084	4187259	7010805
643	45075239	3073785	4185350	7014041
644	45108387	3073486	4187256	7017268
645	45141511	3073187	4185353	7020489
646	45174612	3072888	4187254	7023701
647	45207690	3072590	4185356	7026905
648	45240745	3072292	4187251	7030102
649	45273777	3071994	4185358	7033291
650	45306786	3071696	4187248	7036472
651	45339771	3071398	4185361	7007864
652	45372734	3071100	4187246	7011059
653	45405674	3070803	4185364	7014248
654	45438592	3070505	4187243	7017428
655	45471486	3070208	4185366	7020602
656	45504358	3069911	4187240	7023767
657	45537207	3069614	4185369	7026926
658	45570034	3069316	4187238	7030076
659	45602838	3069019	4185371	7033220
660	45635619	3074664	4187235	7036355
661	45668379	3074375	4185374	7008156
662	45701116	3074087	4187233	7011305
663	45733830	3073798	4185377	7014448
664	45766522	3073510	4187230	7017583
665	45799192	3073222	4185379	7020711
666	45831840	3072935	4187228	7023832
667	45864466	3072647	4185382	7026945
668	45897070	3072360	4187225	7030051
669	45929651	3072072	4185384	7033150
670	45962211	3071785	4187223	7036241
671	45994749	3071498	4185387	7008439
672	46027265	3071211	4187221	7011544
673	46059759	3070924	4185390	7014642
674	46092231	3070637	4187218	7017733
675	46124682	3070351	4185392	7020817
676	46157111	3070064	4187216	7023893
677	46189518	3069777	4185395	7026963
678	46221904	3069491	4187214	7030026
679	46254268	3069204	4185397	7033081
680	46286611	3074648	4187211	7036130
681	46318932	3074370	4185400	7008714
682	46351232	3074091	4187209	7011775
683	46383511	3073813	4185402	7014830
684	46415768	3073536	4187207	7017878
685	46448004	3073258	4185405	7020919
686	46480219	3072980	4187205	7023953
687	46512413	3072703	4185408	7026980
688	46544585	3072425	4187202	7030001
689	46576737	3072148	4185410	7033015
690	46608868	3071871	4187200	7036021
691	46640977	3071594	4185413	7008980
692	46673066	3071317	4187198	7011999
693	46705134	3071040	4185415	7015012
694	46737181	3070764	4187196	7018018
695	46769207	3070487	4185418	7021017
696	46801213	3070210	4187194	7024010
697	46833198	3069934	4185420	7026996
698	46865162	3069657	4187192	7029976
699	46897106	3069381	4185423	7032949
700	46929029	3074635	4187190	7035915
701	46960932	3074366	4185425	7009238
702	46992814	3074098	4187188	7012216
703	47024676	3073829	4185428	7015188
704	47056517	3073561	4187186	7018153
705	47088338	3073293	4185430	7021112
706	47120139	3073025	4187184	7024065
707	47151920	3072757	4185433	7027011
708	47183680	3072489	4187182	7029951
709	47215421	3072222	4185435	7032884
710	47247141	3071954	4187180	7035811
711	47278841	3071686	4185438	7009488
712	47310521	3071419	4187178	7012426
713	47342181	3071152	4185440	7015358
714	47373821	3070884	4187176	7018284
715	47405442	3070617	4185443	7021204
716	47437042	3070350	4187174	7024118
717	47468623	3070083	4185445	7027025
718	47500183	3069815	4187172	7029926
719	47531725	3069548	4185447	7032821
720	47563246	3074624	4187170	7035709
721	47594748	3074365	4185450	7009731
722	47626230	3074105	4187168	7012630
723	47657693	3073846	4185452	7015524
724	47689136	3073587	4187167	7018411
725	47720560	3073328	4185455	7021293
726	47751964	3073069	4187165	7024168
727	47783349	3072810	4185457	7027037
728	47814715	3072551	4187163	7029901
729	47846061	3072292	4185460	7032758
730	47877388	3072034	4187161	7035609
731	47908696	3071775	4185462	7009966
732	47939984	3071517	4187159	7012828
733	47971254	3071258	4185464	7015684
734	48002504	3071000	4187158	7018534
735	48033735	3070741	4185467	7021378
736	48064947	3070483	4187156	7024216
737	48096141	3070225	4185469	7027049
738	48127315	3069966	4187154	7029875
739	48158470	3069708	4185472	7032696
740	48189607	3074616	4187153	7035511
741	48220724	3074365	4185474	7010194
742	48251823	3074114	4187151	7013019
743	48282903	3073863	4185476	7015839
744	48313965	3073612	4187149	7018652
745	48345008	3073362	4185479	7021460
746	48376032	3073111	4187148	7024262
747	48407037	3072861	4185481	7027059
748	48438024	3072611	4187146	7029850
749	48468992	3072360	4185484	7032635
750	48499942	3072110	4187144	7035414
751	48530874	3071860	4185486	7010416
752	48561787	3071610	4187143	7013205
753	48592682	3071360	4185488	7015988
754	48623558	3071110	4187141	7018767
755	48654416	3070860	4185491	7021539
756	48685256	3070610	4187140	7024306
